Kód obce;poradie na hlasovacom lístku;meno;priezvisko;titul;vek;povolanie;strany;počet hlasov
515507;1;Ľubomír;Eremiáš;;40;starosta obce;111;51
515515;1;Martin;Bodnár;;36;starosta;106;28
515523;1;Alena;Kalinová;Mgr.;47;ekonómka;106,145;73
515531;1;Vladimír;Mocný;;64;dôchodca;125;14
515531;2;Marcela;Sekrénešová;;48;starostka obce;136;69
515540;1;Ildikó;Lászlóová;Bc.;56;starostka;145;127
515540;2;Alexander;Medve;;54;údržbár;001;53
515540;3;Alžbeta;Rózenfeldová;;52;predavačka;001;12
515566;1;Martin;Šmíro;;38;starosta obce;106;109
515574;1;Marta;Halászová;;67;starostka obce;145;41
515582;1;Eva;Magová;;58;starostka obce;145;87
515582;2;Katarína;Virágová;;51;výrobná pracovníčka;001;16
515591;1;Marian;Bystriansky;Mgr.;47;terénny sociálny pracovník;001;79
515591;2;Štefan;Vaclavik;Mgr.;57;starosta;111;126
515604;1;Gabriel;Lakatoš;;35;starosta;111;125
515604;2;Barnabáš;Váradi;;55;robotník;142;160
515612;1;Marian;Dorkin;;39;živnostník;119;649
515612;2;Štefan;Dusza;Ing.;59;súkromný podnikateľ;001;108
515612;3;Erika;Győrfiová;Ing.;61;hlavná kontrolórka mesta;106,145,135;1072
515612;4;Róbert;Jóry;Ing.;50;štátny zamestnanec;001;679
515621;1;Štefan;Gál;;45;starosta obce;001;198
515621;2;Ernest;Lakatoš;Mgr.;48;štátny zamestnanec;001;110
515639;1;Nándor;Kisfaludi;Mgr.;54;starosta obce;001;235
515639;2;Mário;Szabó;;35;operátor stroja;001;166
515647;1;Vladimír;Bien;;48;starosta;001;28
515655;1;Norbert;Keszi;Mgr.;47;starosta obce;001;157
515655;2;Zoltán;Szabó;Bc.;46;konateľ spoločnosti;145;73
515663;1;Róbert;Bášti;;53;železničiar;001;223
515663;2;Július;Molnár;;62;starosta obce;145;84
515671;1;Jarmila;Hronecová;Mgr.;41;regionálna koordinátorka;001;65
515671;2;Janka;Janšová;;52;starostka obce;106;100
515680;1;Matej;Binder;;32;príslušník policajného zboru;001;174
515680;2;Hana;Homoľová;Ing.;45;zástupkyňa riaditeľky pre ekonomické a technické činnosti;001;591
515680;3;Pavel;Karas;;39;šofér;001;67
515680;4;Ján;Vengrín;MBA;47;náčelník mestskej polície;135;682
515698;1;Vojtech;Gyurán;;59;starosta;145;69
515698;2;František;Lakatoš;;43;nezamestnaný;114;70
515701;1;Bartolomej;Bari;DiS.;48;starosta;144;94
515701;2;Zsolt;Bozó;;38;technický pracovník;145;108
515701;3;Blažej;Farkaš;;30;montážnik;001;5
515701;4;Tatiana;Mesiariková;Ing.;57;poľnohospodárska inžinierka;119;8
515701;5;Attila;Szajko;Mgr.;41;vychovávateľ;001;30
515710;1;Ľubomír;Kosztúr;Ing.;60;starosta;145;217
515710;2;Jaroslav;Repa;;39;pracovník logistiky;001;144
515728;1;Tibor;Kovács;;59;starosta obce;145;88
515736;1;Kamil;Kučera;;59;starosta;106;212
515744;1;Ján;Klembusz;;50;strojník;136;90
515744;2;Norbert;Kluka;;31;starosta;145;380
515752;1;Július;Bodon;;60;starosta obce;125;53
515761;1;Zoltán;Borsodi;;41;starosta obce;145;20
515779;1;Ella;Csutorová;Mgr.;39;ekonómka;001;0
515779;2;Zsolt;Czigány;;34;údržbár;001;60
515779;3;Gejza;Ujj;;58;starosta obce;145;125
515795;1;Ján;Ďuriška;;58;starosta obce;106;131
515795;2;Viktor;Lakatoš;;43;nezamestnaný;119;18
515809;1;Ján;Durmis;Ing.;58;starosta;106;56
515817;1;Estera;Bettesová;Bc.;30;nezamestnaná;001;38
515817;2;Ildikó;Kovács;Mgr.;59;starostka obce;001;26
515833;1;Zoltán;Csizmadia;;62;starosta obce;145;47
515833;2;Ladislav;Fűkő;;59;vodič;001;21
515841;1;Béla;Simon;;49;podnikateľ;145;61
515850;1;Jana;Ambrošová;Mgr.;43;manažérka v energetike;001;807
515850;2;Peter;Rék;Ing.;37;obchodný zástupca;001;142
515850;3;Dalibor;Surkoš;Ing.;62;primátor;136,135,145,141,142;1706
515850;4;Klaudia;Vajová;Mgr.;39;pedagogická zamestnankyňa;106;342
515868;1;Peter;Bálint;Ing.;64;starosta obce;145;401
515868;2;Eva;Lintnerová;;39;ekonómka;001;93
515876;1;Július;Hajtman;Ing.;55;vedúci štátny zamestnanec;135;75
515876;2;Mária;Konczová;Bc.;45;administratívna pracovníčka;001;34
515876;3;Ján;Máth;;50;starosta;001;107
515884;1;Jaroslav;Kalmár;;51;štátny zamestnanec;136,135;39
515884;2;Michaela;Vozafová;;42;starostka;106;30
515892;1;Zoltán;Végh;Ing.;49;starosta obce;001;237
515906;1;Ladislav;Martin;;49;mäsiar;125;144
515906;2;Henrik;Tóth;;52;starosta;145;416
515914;1;Vojtech;Ádám;;54;starosta;145;66
515922;1;Martin;Miháľkin;;27;stolár;128;35
515922;2;Ján;Petroch;;63;starosta;106;174
515931;1;Radoslav;Palášthy;;46;starosta;106,136;15
515949;1;Štefan;Škraban;;57;starosta;106;100
515957;1;Zsolt;Régi;Ing.;59;starosta;145;213
515957;2;Zoltán;Saróka;;34;obchodný zástupca;001;100
515965;1;Ľuboslav;Dobrocký;Ing.;35;starosta obce;128,111,139;384
515973;1;Cyril;Bartók;Bc.;42;starosta obce;106,136,135;270
515973;2;Ondrej;Hudec;;38;majster výroby;125;13
515981;1;Gabriela;Hudecová;Mgr.;48;starostka;106,136;54
515990;1;Nikola;Zolnayová;;26;pracovníčka skladu;145;38
516007;1;Štefan;Chudý;;50;starosta;001;45
516015;1;Marek;Gondáš;;48;vodič z povolania;106;48
516015;2;Ivan;Krekáč;;50;živnostník;001;45
516023;1;Pavel;Bobiš;;41;vedúci údržby;001;48
516023;2;Ladislav;Nozdrovický;;45;starosta;106,136,135;96
516031;1;Richard;Kurec;;45;starosta obce;106;106
516040;1;Mária;Augustínová;Ing.;56;odborná referentka;001;233
516040;2;Matúš;Gogoľák;;35;podnikateľ;001;68
516040;3;Jozef;Mihálik;;47;živnostník;001;150
516058;1;Jozef;Varga;Ing.;59;starosta obce;106,136,145;47
516066;1;Ján;Belov;;55;starosta;106;49
516066;2;Pavel;Hriň;;70;dôchodca;125;7
516066;3;Miroslav;Kalmár;Mgr.;34;operátor výroby;135;9
516074;1;Viktor;Lestyánszky;;60;starosta;145;224
516082;1;Ladislav;Pixiades;Ing.;34;starosta;145,106;191
516091;1;Pavol;Suchánsky;;55;starosta;145;144
516104;1;Helena;Csákyová;;60;starostka;145;105
516112;1;Renáta;Kerestešová;;30;starostka ;145;83
516121;1;Július;Cibuľa;;39;živnostník;114;128
516121;2;Eva;Gyurászová;;58;starostka obce;106,136,145;194
516139;1;František;Balga;;53;zastupujúci starosta;001;164
516139;2;Silvia;Pásztorová;;36;materská dovolenka;001;105
516147;1;Roland;Halgaš;;39;nezamestnaný;001;30
516147;2;Adrián;Kiss;;46;montér-potrubár;114;43
516147;3;Helena;Pilátová;;47;podnikateľka;111,128;31
516147;4;Ingrid;Sipos-Molnár;Bc.;39;asistentka sociálnej práce;145;84
516155;1;Alexander;Macko;;59;konateľ spoločnosti;119;146
516155;2;Ladislav;Majdán;Ing.;53;starosta obce;106,136,145;160
516163;1;Jozef;Kovaľ;;58;technik;136;46
516163;2;Ján;Žilka;;55;starosta;111;62
516171;1;Ján;Šimko;;62;starosta obce;106,136;71
516198;1;Miroslav;Filkus;Mgr.;27;príslušník finančnej správy;119,152;83
516198;2;Igor;Gazdík;Ing.;53;štátny zamestnanec;001;105
516210;1;Vladimír;Bajo;;44;podnikateľ;125;91
516210;2;Mária;Bednárová;Ing.;61;primátorka;111,128,106;315
516210;3;Miroslava;Lavičková;Ing.;60;manažérka v bankovníctve;001;310
516228;1;Mária;Ivaničová;Mgr.;43;asistentka  učiteľa;111;7
516228;2;Ladislav;Jekkel;Bc.;52;starosta obce;001;77
516228;3;Vojtech;Nagy;;63;administratívny pracovník;106;42
516236;1;Ladislav;Híves;;56;starosta;145;485
516236;2;Ján;Jakub;;50;elektrikár;119;19
516236;3;Gabriel;Vršánsky;;44;štátny zamestnanec;001;218
516244;1;Jozef;Jakab;;37;majster stavebnej výroby;001;44
516244;2;Marian;Varholák;;43;starosta obce;106,136;212
516252;1;Miloš;Koči;;48;starosta;136,125;172
516252;2;Ľudovít;Roško;;66;dôchodca;145;82
516261;1;Attila;Kanyó;Mgr.;31;samostatný radca;001;102
516261;2;Jozef;Vízi;;54;starosta obce;145;89
516279;1;Nikoleta;Hötzelová;Mgr.;30;manažérka kancelárie;001;164
516279;2;Csaba;Kálazy;Ing.;46;starosta;145;3
516279;3;Tibor;Sabó;;48;vodič autobusu;001;125
516287;1;Jana;Filušová;Mgr.;37;administratívna pracovníčka;135;15
516287;2;Ján;Krnáč;;44;starosta obce;128;42
516295;1;Ľuboš;Berky;Bc.;47;štátny zamestnanec;106;150
516295;2;Miroslav;Činčura;;59;starosta;001;167
516295;3;Magdaléna;Ďurčeková;Ing.;35;štátna zamestnankyňa;001;48
516309;1;Ján;Debnár;;60;starosta;136;26
516317;1;Tibor;Čierny;Ing.;52;starosta obce;106,136,135;205
516333;1;Zdeněk;Barienčík;Mgr.;31;účtovník;001;113
516333;2;Norbert;Mankovický;;54;finančný poradca;140;24
516333;3;Patrik;Pástor;;34;vodič;001;51
516341;1;Daniel;Gemer;Ing.;47;štátny zamestnanec;136,106,135;63
516341;2;Jozef;Híveš;;55;majster odborného výcviku;145;32
516368;1;Katarína;Petrášová;;35;obsluha čerpacej stanice;125;46
516368;2;Ján;Ragač;Ing.;66;starosta obce;106;78
516376;1;Branislav;Belák;Ing.;44;samostatne zárobkovo činná osoba;135;152
516376;2;Marta;Kálovcová;Bc.;56;starostka;106,136;271
516384;1;Denisa;Árvayová;Mgr.;48;starostka obce;001;137
516392;1;Branislav;Danko;Bc.;56;výsluhový dôchodca;125;30
516392;2;Anna;Mužíková;Mgr.;39;starostka obce;106,136,135;68
516406;1;Štefan;Benko;;59;starosta;136,106;115
516406;2;Ľubo;Mackov;;51;podnikateľ;132;132
516406;3;Milan;Mikuš;;51;štátny zamestnanec;001;72
516414;1;Kristína;Beracová;Mgr.;35;rodičovská dovolenka;001;85
516414;2;Alena;Chovanová;;42;referentka nákupu;106;8
516414;3;Stanislav;Michalička;Mgr.;50;sociálny pracovník;001;27
516422;1;Eva;Cinkotová;;44;starostka;106;33
516431;1;Tomáš;Balla;;34;nezamestnaný;106;19
516431;2;Tibor;Dímik;;58;starosta obce;145;74
516449;1;Marianna;Marková;;39;starostka;106;32
516449;2;Valéria;Vargová;;50;živnostníčka;152;15
516457;1;Marek;Krnáč;;37;starosta ;145;98
516457;2;Tomáš;Szűcs;;52;operátor rastlinnej výroby;114;19
516465;1;Kornél;Balázs;;50;výsluhový dôchodca;001;115
516465;2;Ján;Laurík;;54;stavebný technik;106;14
516465;3;Roman;Pásztor;;46;starosta;145;218
516473;1;Ladislav;Kerata;Ing.;48;starosta obce;145;185
516473;2;Zsolt;Krasnica;;48;nezamestnaný;001;32
516490;1;Ivan;Krahulec;;56;starosta obce;106,136,111,145,135;119
516503;1;Michal;Minár;Ing.;36;starosta;001;49
516511;1;Anna;Makovníková;Ing.;60;starostka obce;106,136,135;83
516520;1;Kristián;Baksa;Ing.;43;starosta;145;608
516520;2;Richárd;Hamerlik;Ing.;55;strojný inžinier;142;313
516538;1;Marcel;Fagyas;;46;starosta;145;143
516538;2;Henrich;Kováč;;49;podnikateľ;001;75
516546;1;Štefan;Flaška;Bc.;49;vedúci pracovník liehovaru;135;110
516546;2;Branislav;Kázmer;PaedDr.;51;starosta obce;001;190
516554;1;Miroslav;Kalmár;;58;starosta;106,136,135;139
516554;2;Tomáš;Paulovič;;40;živnostník;001;78
516562;1;Miroslav;Daniel;Mgr.;38;konateľ spoločnosti;119;40
516562;2;Darina;Galová;;48;administratívna pracovníčka;106;30
516571;1;Žaneta;Michalčák Čudaiová;Mgr., Mgr.;46;zdravotnícka záchranárka;135;54
516571;2;Roland;Obertin;BA.;42;živnostník;001;136
516571;3;Kornel;Rég;;43;elektrotechnik;145;13
516571;4;Mária;Rechová;PaedDr.;48;prednostka okresného úradu;119;179
516571;5;Štefan;Rimaj;;56;starosta;128,111,106;173
516589;1;Peter;Antal;Mgr.;50;primátor;001;3770
516589;2;Petra;Mazúrová;;45;samostatne zárobkovo činná osoba - účtovníčka;001;831
516597;1;Martin;Kminiak;;42;starosta obce;001;404
516601;1;Ľubica;Kuková;RNDr.;49;starostka obce;136,106,132;75
516627;1;Branislav;Babirád;MVDr.;54;starosta obce;132,106;350
516643;1;Nadežda;Babiaková;Mgr.;68;primátorka mesta;136,106,132,142,135,125;2092
516643;2;Štefan;Mičura;;55;konateľ;001;391
516643;3;Mikuláš;Pál;Mgr.;46;riaditeľ úradu práce;001;1245
516651;1;Pavol;Santoris;;61;starosta obce;132,106;149
516660;1;Ľubomír;Bielik;;63;dôchodca;132;25
516660;2;Ladislav;Grosch;;57;elektrikár;001;64
516660;3;Erika;Maceková Forgáčová;Mgr.;36;účtovníčka;001;91
516660;4;Branislav;Stupka;;52;podnikateľ;001;17
516678;1;Tatiana;Drímaj Recká;Mgr., Mgr.;41;pedagogička;111;2
516678;2;Zuzana;Lukáčová;Mgr.;43;podnikateľka;139;27
516678;3;Monika;Zlesíková;Mgr.;48;starostka;001;38
516708;1;Viktor;Debnár;;57;živnostník;116;159
516708;2;Dana;Kaššová;;38;účtovníčka;106;111
516708;3;Pavol;Okuliar;;34;manažér;001;112
516716;1;Ľuboš;Chovan;Ing.;32;technický pracovník v štátnom podniku;001;45
516716;2;Roman;Lauko;Ing.;52;vedúci vychovávateľ;104;80
516724;1;Eva;Dvončová;Mgr.;53;špecialistka pre nábor a odmeňovanie;001;60
516724;2;Kristína;Kupcová;Mgr.;43;učiteľka;001;112
516724;3;Katarína;Lajčiaková;Ing.;44;starostka;001;56
516732;1;Iveta;Kotorová;Ing.;53;vedúca ekonomického oddelenia;124;59
516732;2;Milan;Pračko;;54;starosta;001;61
516741;1;Jakub;Dávid;;33;konateľ;001;166
516741;2;Andrea;Murgašová;Mgr.;49;starostka ;106;231
516759;1;Jozef;Uram;;57;starosta;001;553
516767;1;Vladimír;Dulaj;;59;operátor;001;189
516767;2;Zuzana;Farbáková;;52;policajtka;001;34
516767;3;Dominika;Kordíková;Mgr.;33;právnička;001;390
516767;4;Bohumír;Krátky;Ing., MBA;52;projektový manažér pre infraštruktúru;001;293
516767;5;Vladimír;Mikuláš;;57;starosta;001;354
516791;1;Pavol;Paučo;;55;technik;001;94
516791;2;Rastislav;Štanga;Ing., Mgr.;45;vedúci servisu;001;191
516805;1;Milan;Mokrý;Ing.;52;starosta obce;001;215
516813;1;Ján;Adámik;;66;starosta;136,106,125;132
516821;1;Jozef;Brhlík;Mgr.;52;starosta obce;106;105
516821;2;Miriam;Červienková;;45;finančná poradkyňa;001;117
516821;3;Dominika;Dúbravská;Ing., Bc.;35;štátna zamestnankyňa;001;13
516830;1;Ľubomír;Krovina;;58;starosta;136,132;237
516830;2;Imrich;Rajčok;;51;živnostník;106;340
516848;1;Ján;Kubík;;31;starosta obce;001;222
516856;1;Vratislav;Cengel;;39;starosta obce;001;148
516872;1;Božena;Kováčová;Ing., Mgr. , MHA;63;starostka ;106;303
516881;1;Zdenko;Matúška;;42;starosta obce;001;205
516902;1;Miroslav;Firák;Mgr.;62;dôchodca;001;17
516902;2;Ľuboš;Haring;;53;starosta;001;103
516937;1;Rastislav;Slanina;Bc.;50;starosta;001;90
516945;1;Miroslav;Beňo;Ing., PhD.;46;odborný asistent na univerzite ;001;46
516945;2;Marián;Húska;;47;živnostník;125,136;18
516945;3;Darina;Morvayová;Ing.;63;samostatne zárobkovo činná osoba, ekonómka;001;113
516945;4;Adam;Soustružník;Ing.;33;prevádzkový inžinier;001;4
516945;5;Andrej;Šeševička;Bc.;36;podnikateľ;106;24
516945;6;Rudolf;Vanka;;38;vodič;001;58
516953;1;Soňa;Pallayová;Ing.;55;živnostníčka, konzultantka;001;78
516961;1;Miroslav;Schwarz;;66;starosta;001;98
516970;1;Alexander;Ferenčík;Ing. Mgr.;44;primátor;001;692
516970;2;Martin;Novodomec;Mgr. Ing.;40;manažér;111;864
516970;3;Marián;Vojtko;DiS.art.;49;učiteľ základnej umeleckej školy;001;422
516988;1;Miroslava;Bartáková Kozárová;;40;kontrolórka;001;36
516988;2;Juraj;Vozár;;46;starosta;001;100
516996;1;Pavol;Krajči;;54;živnostník;001;9
516996;2;Peter;Slašťan;;58;starosta obce;001;95
517011;1;Katarína;Homolová;Mgr.;56;zdravotná laborantka;001;78
517011;2;Michal;Obertáš;Mgr.;44;výsluhový dôchodca;106;114
517020;1;Ondrej;Bahno;;41;starosta;136;193
517020;2;Juraj;Valent;;50;podnikateľ;001;151
517038;1;Štefan;Horvát;;55;starosta ;001;469
517046;1;Lenka;Novotná;;39;obchodno-technická pracovníčka;001;26
517046;2;Vladimír;Závadský;;46;starosta obce;001;80
517062;1;Dušan;Pacalaj;;60;starosta obce;001;272
517071;1;Iveta;Hrudková;;60;odborná referentka špecialistka;132;44
517071;2;Michal;Kašiar;;30;skúšobný technik;001;46
517089;1;Štefan;Henžel;Ing.;43;starosta;001;120
517097;1;Branislav;Jaďuď;Mgr., MVDr., MBA;53;primátor;132,136,106;1695
517097;2;Vladislav;Lalka;JUDr.;41;štátny zamestnanec;001;508
517097;3;Viktória;Valachovičová;Ing., PhD.;40;personálna manažérka;119,128,111,118,152;675
517119;1;Ján;Adamov;Ing.;52;zamestnanec;001;139
517119;2;Jana;Angletová;Mgr., Bc.;56;zdravotná sestra;106;67
517119;3;Zuzana;Habláková;Mgr.;36;učiteľka;001;3
517119;4;Július;Remenár;Mgr.;54;starosta obce;111;104
517127;1;Blažena;Chapman;;49;pracovníčka čerpacej stanice;001;39
517127;2;Martin;Kokles;;26;opatrovateľ;001;26
517135;1;Peter;Snopko;Ing.;56;stavebný inžinier;124;33
517135;2;Martina;Záhorcová;;47;starostka ;001;282
517143;1;Patrik;Ivanič;;48;podnikateľ;001;70
517143;2;Dana;Lóžiová;Ing.;56;starostka;001;125
517143;3;Daniela;Sokolovičová;Ing.;52;lektorka;136,125,142;10
517160;1;Dušan;Triebušník;;55;starosta obce;001;32
517178;1;Alena;Ciglanová;Mgr.;59;starostka obce;136;215
517178;2;Erik;Šulek;Bc.;30;referent ekonomické oddelenie;142;84
517186;1;Ján;Abrahám;;51;starosta ;106;303
517194;1;Martina;Rozenbergová;Ing.;42;starostka;001;209
517216;1;Vladimír;Šalkovský;;59;starosta obce;001;89
517232;1;Marián;Šurjanský;PhDr.;36;starosta obce;111,106;235
517232;2;Peter;Žarnovičan;;39;živnostník;109;38
517241;1;Ľubomír;Meliš;Ing.;60;starosta obce;136;167
517259;1;Daniel;Gelien;Mgr.;47;starosta obce;135;188
517267;1;Stanislav;Rigo;Ing.;48;starosta;001;246
517283;1;Oldřich;Havlík;Ing.;67;súkromný podnikateľ;109;137
517283;2;Stanislav;Neuschl;;49;starosta obce;132,136,106;269
517291;1;Andrea;Krištofová;Ing.;49;štátna zamestnankyňa;001;282
517291;2;Vladimír;Zaťko;;42;živnostník;001;311
517305;1;Zuzana;Kráľová;Ing.;33;nezamestnaná;106;185
517305;2;Mária;Rudzanová;;46;technička;001;267
517313;1;Zuzana;Ivanová;;52;podnikateľka;001;159
517313;2;Pavel;Kravec;Mgr.;65;starosta ;001;381
517330;1;Jozef;Mihál;;49;starosta obce;111;442
517330;2;Peter;Víglaský;;51;zdravotnícky záchranár;001;130
517348;1;František;Demeter;;56;starosta;136,106;179
517356;1;Jaroslav;Beňovský;Ing.;31;chemik;001;19
517356;2;Štefan;Havran;Ing.;62;lesný inžinier;001;70
517356;3;Zdenko;Mihálik;Ing.;26;štátny zamestnanec;001;76
517356;4;Nadežda;Nemcová;Ing.;43;manažérka nákupu;001;122
517356;5;Lenka;Peťková;Ing.;33;referentka;106;83
517364;1;Vladimír;Bevelaqua;;58;výsluhový dôchodca;136,125;110
517364;2;Ervín;Családi;;61;starosta;128,111;39
517364;3;Martina;Kmeťová;Mgr.;47;riaditeľka materskej školy;001;396
517364;4;Maroš;Vanko;Ing.;31;podnikateľ;106;18
517372;1;Valéria;Kuková;;54;starostka obce;111;36
517381;1;Alena;Kazimírová;Ing.;53;zástupkyňa primátora;001;1286
517381;2;Peter;Kmeť;Ing.;56;obchodný riaditeľ;001;713
517381;3;Jaroslav;Považan;Mgr.;52;policajt;001;252
517381;4;Jaroslav;Ubert;;51;zamestnanec bezpečnostnej služby;152;11
517381;5;Radim;Vojtko;Mgr.;25;poradca klienta v banke;001;177
517399;1;Ľubomír;Medlen;Mgr.;55;výsluhový dôchodca;001;252
517399;2;Jaroslav;Repiský;Ing.;39;živnostník;125;9
517399;3;Ján;Tomáš;Ing.;63;starosta;106;212
517402;1;Silvia;Bakkery;Mgr., PhDr.;44;riaditeľka televízie;125;668
517402;2;Timotej;Bernhauser;;53;obchodník;001;184
517402;3;Peter;Cibulka;Mgr.;40;učiteľ;001;3970
517402;4;Peter;Fiabáne;Mgr.;59;primátor mesta;001;11654
517402;5;Patrik;Groma;Mgr., Ing., PhD.;49;ekonóm;106,111;4866
517402;6;Ján;Rzeszoto;Mgr.;43;nákup-rozvoj dodávateľskej kvality;001;981
517402;7;Pavol;Slota;Ing.;41;podnikateľ;105;2723
517402;8;Štefan;Zelník;MUDr., PhD.;67;lekár;154;276
517402;9;Daniela;Zemanová;;56;učiteľka;107;273
517429;1;Ivan;Dvorský;Ing., PhD.;63;projektový manažér;116;654
517429;2;Peter;Šugár;Mgr., MBA;42;prednosta úradu;001;566
517429;3;Daniel;Užák;Ing.;34;predseda urbáru;106;345
517461;1;Ladislav;Marek;;55;živnostník;001;164
517461;2;Miroslav;Minárčik;Ing.;55;stavebný technik, primátor;106;2182
517461;3;Ján;Sekáč;;56;SZČO;125;106
517461;4;Branislav;Šušolík;;46;konštruktér, programátor;001;1728
517461;5;Jozef;Šutara;Ing.;40;ekonóm;001;41
517470;1;Miroslav;Čecho;;59;technik;136;34
517470;2;Iveta;Michalíková;Bc.;52;starostka;001;56
517488;1;Martin;Fronc;;41;starosta;001;589
517496;1;Michal;Krško;Ing.;46;starosta obce;001;335
517500;1;Martina;Ďurčová;Mgr.;39;konzultantka programu pre podvojné účtovníctvo;001;375
517500;2;Tibor;Gajdošík;Ing.;51;obchodno - technický zástupca;136,106;427
517500;3;Róbert;Puchoň;;48;odborný zamestnanec správy a prevádzky;001;173
517518;1;Ľubica;Ďuricová;Ing.;57;starostka obce;001;345
517518;2;Lukáš;Ďurina;;35;projektový manažér;001;438
517526;1;Ľubomír;Klimo;Mgr.;51;učiteľ;001;333
517526;2;Peter;Zelník;Ing.;41;starosta obce;001;539
517542;1;Miroslav;Čerňanec;;55;starosta;106,111;237
517542;2;Miroslav;Mikula;Ing.;57;prednosta úradu;136;84
517551;1;Jozef;Martinček;Ing.;58;starosta;001;399
517551;2;Michal;Mravec;Bc.;44;štátny zamestnanec;001;288
517551;3;Jana;Vašková;;54;vedúca pošty;111;73
517577;1;Dušan;Chvíľa;Ing.;44;ekonóm;001;244
517577;2;Michal;Michalovič;Bc.;40;teamleader;001;21
517577;3;Erika;Mojáková;;51;starostka;001;213
517577;4;Daniel;Singer;;39;konateľ spoločnosti;001;56
517593;1;Dušan;Ďuríček;Ing., MBA;51;starosta;001;290
517623;1;Lucia;Mináriková;Mgr.;36;učiteľka;106;175
517623;2;Martin;Šimún;Ing.;50;starosta;111;296
517631;1;Ladislav;Čička;;60;starosta;001;250
517640;1;Martin;Babčan;Mgr.;42;vedúci oddelenia expedície;106;137
517640;2;Martin;Mikolka;Mgr.;38;starosta;001;186
517658;1;Pavol;Sandanus;Ing.;51;starosta;128;454
517658;2;Jaroslav;Turanec;;51;stavbyvedúci;116;514
517674;1;Peter;Hranka;;32;vedúci výroby;001;28
517674;2;Miroslava;Hrtánková;;47;referentka samosprávy;001;346
517674;3;Jozef;Hruštinec;Ing.;61;starosta obce;136,106,132;480
517674;4;Vladimír;Šmehyl;;50;vodič autobusu;001;28
517682;1;Jaroslav;Harant;Ing.;57;výsluhový dôchodca;001;97
517682;2;Pavol;Račko;Mgr.;46;príslušník policajného zboru SR;001;323
517682;3;Janka;Stupňanová;Ing.;49;hlavná referentka;001;444
517691;1;Marek;Čebek;Ing.;37;manažér nákupného oddelenia;001;116
517691;2;Miroslav;Hájek;;53;technický manažér;106,125;205
517691;3;Alica;Malíková;Mgr.;50;personalistka;001;46
517691;4;Peter;Mozolík;PhDr., Mgr.;57;starosta;136,132;646
517704;1;Júlia;Mikolajová;;37;účtovníčka;001;121
517704;2;Jozef;Žabka;;58;starosta obce;132,136,106;227
517712;1;Miroslav;Bielka;Ing.;58;živnostník;001;308
517712;2;Jana;Žáková;Ing., PhD.;34;starostka;001;438
517721;1;Petra;Dubeňová;Mgr.;35;projektová manažérka;001;71
517721;2;Monika;Kavecká;Mgr., MPH;49;poslankyňa národnej rady;119;174
517721;3;Klaudia;Kolečániová;Ing.;52;ekonómka;001;147
517721;4;Miroslav;Kudela;;45;SZČO;136,132,106;241
517739;1;Pavol;Gašpierik;Ing.;57;starosta;136,106;206
517739;2;Petra;Melišíková;Mgr.;36;procesná optimalizátorka;116;75
517739;3;Ivan;Oboňa;Mgr.;56;živnostník;001;460
517755;1;Vladimír;Jamečný;;52;starosta;001;547
517755;2;Andrea;Krčová;Mgr.;47;učiteľka v MŠ;001;176
517763;1;Anton;Štefko;;66;starosta;132,136,106;222
517771;1;Miloš;Murárik;;46;nezamestnaný;001;69
517771;2;Róbert;Murárik;Ing.;51;technik;136,106;212
517771;3;Patrik;Šmehýl;Ing.;50;projektový manažér;001;186
517780;1;Jaroslav;Koleda;;62;starosta obce;132,136,106;126
517780;2;Vladislav;Suľa;;42;SZČO;154;70
517798;1;Andrea;Butková;Ing.;41;starostka;001;151
517798;2;Milan;Holjenčík;Mgr.;46;výsluhový dôchodca;001;194
517798;3;Marek;Chvalník;;39;skladník;001;23
517798;4;Patrik;Koniar;Ing.;26;špecialista oddelenia údržby;001;143
517801;1;Michal;Begičevič;;42;podnikateľ;105;34
517801;2;Daniel;Mikoláš;;56;vedúci skladu a expedície;001;115
517801;3;Radoslav;Olašák;Mgr.;52;hlavný kontrolór;001;148
517801;4;Peter;Rolko;Ing.;41;konateľ spoločnosti;001;126
517801;5;Štefan;Svetko;Ing.;63;starosta obce;141;226
517801;6;Hedviga;Šimaliaková;Bc.;38;SZČO;001;34
517828;1;Mária;Sklenárová;;51;poštová doručovateľka;001;197
517828;2;Peter;Vajda;PhDr.;59;starosta;001;317
517828;3;Vladimír;Zajac;Ing.;59;senior špecialista na kvalitu;111;77
517861;1;Zuzana;Hájková;Bc.;43;zdravotná sestra;001;30
517861;2;Štefan;Hlavoň;;42;vodič;001;375
517861;3;Martin;Hulín;;42;vedúci lesného obvodu;001;250
517861;4;Anton;Pláňavský;Ing.;58;starosta obce;136,132,106;287
517879;1;Anton;Chobot;;62;starosta obce;136,106;197
517895;1;Jozef;Janda;;61;prípravár výroby;111;12
517895;2;Štefan;Klus;;56;starosta;136,106,132;403
517895;3;Monika;Mináriková;;52;maklérska poradkyňa;127;294
517917;1;Monika;Ďurechová;JUDr.;33;advokátka;136,125;68
517917;2;Peter;Hanus;Mgr.;53;učiteľ;001;1101
517917;3;Lumír;Kardoš;;31;pracovník oddelenia kvality;001;78
517917;4;Milan;Lipka;Ing.;40;primátor mesta;001;961
517917;5;Emanuel;Piala;;38;vodič odťahovej služby;001;354
517925;1;Miloš;Mikula;;55;starosta;106;412
